"","Country","Year","Electricity/Heat (CO2) (MtCO2)","Manufacturing/Construction (CO2) (MtCO2)","Transportation (CO2) (MtCO2)","Other Fuel Combustion (CO2) (MtCO2)","Fugitive Emissions (CO2) (MtCO2)"
"1366","Dominican Republic",1978,2.54,1.21,1.77,0.25,NA
"1367","Ecuador",1978,2.36,1.09,4.14,1.57,NA
"1368","Egypt",1978,6.84,14.27,6.24,6.53,NA
"1369","El Salvador",1978,0.24,0.74,1.06,0.16,NA
"1370","Equatorial Guinea",1978,NA,NA,NA,NA,NA
"1371","Eritrea",1978,NA,NA,NA,NA,NA
"1372","Estonia",1978,NA,NA,NA,NA,NA
"1373","Ethiopia",1978,0.24,0.26,0.65,0.13,NA
"1374","European Union (15)",1978,1150.97,814.7,503.07,797.56,NA
"1375","European Union (28)",1978,1577.9919,1095.0992,573.3635,1001.0032,NA
"1376","Fiji",1978,NA,NA,NA,NA,NA
"1377","Finland",1978,19.96,14.36,7.7,12.71,NA
"1378","France",1978,132.07,121.08,86.17,135.37,NA
"1379","Gabon",1978,0.05,1.08,0.55,0.06,NA
"1380","Gambia, The",1978,NA,NA,NA,NA,NA
"1381","Georgia",1978,NA,NA,NA,NA,NA
"1382","Germany",1978,424.98,245.61,121.94,263.32,NA
"1383","Ghana",1978,0.15,0.48,1.35,0.59,NA
"1384","Greece",1978,17.89,10,8.43,6.48,NA
"1385","Grenada",1978,NA,NA,NA,NA,NA
"1386","Guatemala",1978,1.26,0.85,1.26,0.41,NA
"1387","Guinea",1978,NA,NA,NA,NA,NA
"1388","Guinea-Bissau",1978,NA,NA,NA,NA,NA
"1389","Guyana",1978,NA,NA,NA,NA,NA
"1390","Haiti",1978,0.04,0.27,0.29,0.04,NA
"1391","Honduras",1978,0.18,0.48,0.61,0.3,NA
"1392","Hungary",1978,35.39,21.39,8.76,20.28,NA
"1393","Iceland",1978,0.04,0.45,0.45,0.81,NA
"1394","India",1978,63.25,91.91,51.64,42.49,NA
"1395","Indonesia",1978,9.89,14.7,14.58,14.64,NA
"1396","Iran",1978,19.31,23.04,21.4,27.75,NA
"1397","Iraq",1978,7.86,4.37,7.17,3.73,NA
"1398","Ireland",1978,7.94,4.44,4.66,6.29,NA
"1399","Israel",1978,9.49,3.8,4,1.79,NA
"1400","Italy",1978,106.79,91.57,63.49,81.65,NA
"1401","Jamaica",1978,1.26,3.52,0.94,1.24,NA
"1402","Japan",1978,366.13,260.75,146.83,133.28,NA
"1403","Jordan",1978,0.87,0.37,1.55,0.55,NA
"1404","Kazakhstan",1978,NA,NA,NA,NA,NA
"1405","Kenya",1978,0.56,1.02,1.78,0.86,NA
"1406","Kiribati",1978,NA,NA,NA,NA,NA
"1407","Korea, Dem. Rep. (North)",1978,13.15,60.25,4.07,15.11,NA
"1408","Korea, Rep. (South)",1978,28.66,26.33,13.68,37.75,NA
"1409","Kuwait",1978,9.48,2.97,2.99,4.52,NA
"1410","Kyrgyzstan",1978,NA,NA,NA,NA,NA
"1411","Laos",1978,NA,NA,NA,NA,NA
"1412","Latvia",1978,NA,NA,NA,NA,NA
"1413","Lebanon",1978,1.85,1.34,1.45,1.09,NA
"1414","Lesotho",1978,NA,NA,NA,NA,NA
"1415","Liberia",1978,NA,NA,NA,NA,NA
"1416","Libya",1978,5.46,2.17,3.69,0.74,NA
"1417","Lithuania",1978,NA,NA,NA,NA,NA
"1418","Luxembourg",1978,1.82,9.04,1.06,1.64,NA
"1419","Macedonia, FYR",1978,3.0146,1.8336,1.1888,0.4191,NA
"1420","Madagascar",1978,NA,NA,NA,NA,NA
"1421","Malawi",1978,NA,NA,NA,NA,NA
"1422","Malaysia",1978,6.9,6.63,5.06,1.23,NA
"1423","Maldives",1978,NA,NA,NA,NA,NA
"1424","Mali",1978,NA,NA,NA,NA,NA
"1425","Malta",1978,0.59,0,0.2,0.12,NA
"1426","Mauritania",1978,NA,NA,NA,NA,NA
"1427","Mauritius",1978,0.18,0.08,0.25,0.09,NA
"1428","Mexico",1978,48.72,55.48,52.87,19.02,NA
"1429","Moldova",1978,NA,NA,NA,NA,NA
"1430","Mongolia",1978,NA,NA,NA,NA,NA
"1431","Montenegro",1978,NA,NA,NA,NA,NA
"1432","Morocco",1978,3.56,4.51,2.57,2.11,NA
"1433","Mozambique",1978,0.48,0.57,0.24,0.68,NA
"1434","Myanmar",1978,0.82,1.89,1.65,0.36,NA
"1435","Namibia",1978,NA,NA,NA,NA,NA
"1436","Nauru",1978,NA,NA,NA,NA,NA
"1437","Nepal",1978,0.04,0.04,0.09,0.11,NA
"1438","Netherlands",1978,44.55,45.02,22.19,47.74,NA
"1439","New Zealand",1978,4.11,4.54,6.66,2.86,NA
"1440","Nicaragua",1978,0.83,0.27,1.01,0.22,NA
"1441","Niger",1978,NA,NA,NA,NA,NA
"1442","Nigeria",1978,2.77,4.48,11.4,3.03,NA
"1443","Niue",1978,NA,NA,NA,NA,NA
"1444","Norway",1978,3.17,10.63,8.38,5.64,NA
"1445","Oman",1978,0.52,0.08,0.51,0.47,NA
"1446","Pakistan",1978,3.62,8.42,5.15,5.41,NA
"1447","Palau",1978,NA,NA,NA,NA,NA
"1448","Panama",1978,1.23,0.47,1.07,0.15,NA
"1449","Papua New Guinea",1978,NA,NA,NA,NA,NA
"1450","Paraguay",1978,0.42,0.11,0.81,0.06,NA
"1451","Peru",1978,3.67,5.6,5.47,3.78,NA
"1452","Philippines",1978,10.73,8.78,10.62,3.81,NA
"1453","Poland",1978,222.11,68.9,30.2,76.42,NA
"1454","Portugal",1978,3.94,7.27,5.75,2.88,NA
"1455","Qatar",1978,1.82,1.25,0.83,0.03,NA
"1456","Romania",1978,57.26,79.82,7.79,29.22,NA
"1457","Russian Federation",1978,NA,NA,NA,NA,NA
"1458","Rwanda",1978,NA,NA,NA,NA,NA
"1459","Saint Kitts & Nevis",1978,NA,NA,NA,NA,NA
"1460","Saint Lucia",1978,NA,NA,NA,NA,NA
"1461","Saint Vincent & Grenadines",1978,NA,NA,NA,NA,NA
"1462","Samoa",1978,NA,NA,NA,NA,NA
"1463","Sao Tome & Principe",1978,NA,NA,NA,NA,NA
"1464","Saudi Arabia",1978,22.02,11.64,18.39,0.99,NA
"1465","Senegal",1978,0.66,0.38,0.63,0.1,NA
"1466","Serbia",1978,19.8256,10.1649,4.2311,4.3149,NA
"1467","Seychelles",1978,NA,NA,NA,NA,NA
"1468","Sierra Leone",1978,NA,NA,NA,NA,NA
"1469","Singapore",1978,7.97,1.11,2.57,0.27,NA
"1470","Slovakia",1978,13.91,23.57,4.6,9.16,NA
"1471","Slovenia",1978,2.8245,3.0885,2.5523,1.7118,NA
"1472","Solomon Islands",1978,NA,NA,NA,NA,NA
"1473","South Africa",1978,83.01,65.11,28.86,17.78,NA
"1474","Spain",1978,49.92,56.22,41.14,18.63,NA
"1475","Sri Lanka",1978,0.18,0.56,1.81,0.76,NA
"1476","Sudan",1978,0.33,0.69,2.05,0.09,NA
"1477","Suriname",1978,NA,NA,NA,NA,NA
"1478","Swaziland",1978,NA,NA,NA,NA,NA
"1479","Sweden",1978,10.38,21.34,17.6,28.42,NA
"1480","Switzerland",1978,1.91,8.46,9.68,20,NA
"1481","Syria",1978,1.14,4.8,3.46,1.48,NA
"1482","Tajikistan",1978,NA,NA,NA,NA,NA
"1483","Tanzania",1978,0.23,0.42,0.66,0.3,NA
"1484","Thailand",1978,8.97,6.47,9.27,5.25,NA
"1485","Togo",1978,0.07,0,0.23,0.03,NA
"1486","Tonga",1978,NA,NA,NA,NA,NA
"1487","Trinidad & Tobago",1978,4.21,1.98,1.25,0.18,NA
"1488","Tunisia",1978,1.9,1.54,1.53,1.22,NA
"1489","Turkey",1978,17.18,19.98,19.24,16.1,NA
"1490","Turkmenistan",1978,NA,NA,NA,NA,NA
"1491","Uganda",1978,NA,NA,NA,NA,NA
"1492","Ukraine",1978,NA,NA,NA,NA,NA
"1493","United Arab Emirates",1978,3.13,6.51,2.53,0,NA
"1494","United Kingdom",1978,259.63,125.09,86.57,120.82,NA
"1495","United States",1978,1761.27,916.19,1324.35,832.41,NA
"1496","Uruguay",1978,1.45,1.55,1.74,0.92,NA
"1497","Uzbekistan",1978,NA,NA,NA,NA,NA
"1498","Vanuatu",1978,NA,NA,NA,NA,NA
"1499","Venezuela",1978,28.65,18.02,24.87,4.05,NA
"1500","Vietnam",1978,3.16,0.21,0.56,9.37,NA
"1501","World",1978,6046.33,4662.11,3654.75,3319.97,NA
"1502","Yemen",1978,0.5,0,1.6,0.32,NA
"1503","Zambia",1978,0.36,2.4,0.63,0.29,NA
"1504","Zimbabwe",1978,0.83,3.15,1.66,1.37,NA
"1505","Afghanistan",1979,NA,NA,NA,NA,NA
"1506","Albania",1979,0.99,2.63,1.25,2.66,NA
"1507","Algeria",1979,12.29,4.65,5.61,5.11,NA
"1508","Angola",1979,0.53,0.44,1.04,0.55,NA
"1509","Antigua & Barbuda",1979,NA,NA,NA,NA,NA
"1510","Argentina",1979,32.13,17,29.97,18.63,NA
"1511","Armenia",1979,NA,NA,NA,NA,NA
"1512","Australia",1979,90.83,47.84,47.84,11.77,NA
"1513","Austria",1979,12.58,15.76,12.58,16.3,NA
"1514","Azerbaijan",1979,NA,NA,NA,NA,NA
"1515","Bahamas, The",1979,NA,NA,NA,NA,NA
"1516","Bahrain",1979,4.31,2.24,0.61,0.06,NA
"1517","Bangladesh",1979,1.56,2.16,0.85,1.63,NA
"1518","Barbados",1979,NA,NA,NA,NA,NA
"1519","Belarus",1979,NA,NA,NA,NA,NA
"1520","Belgium",1979,41.31,37.08,16.11,37.8,NA
"1521","Belize",1979,NA,NA,NA,NA,NA
"1522","Benin",1979,0.01,0.02,0.26,0.08,NA
"1523","Bhutan",1979,NA,NA,NA,NA,NA
"1524","Bolivia",1979,0.81,0.47,2.14,0.63,NA
"1525","Bosnia & Herzegovina",1979,4.169,5.8964,1.9648,2.8654,NA
"1526","Botswana",1979,NA,NA,NA,NA,NA
"1527","Brazil",1979,20.08,68.27,76.87,15.97,NA
"1528","Brunei",1979,1.67,0.07,0.2,0.02,NA
"1529","Bulgaria",1979,38.02,10.02,3.92,29.1,NA
"1530","Burkina Faso",1979,NA,NA,NA,NA,NA
"1531","Burundi",1979,NA,NA,NA,NA,NA
"1532","Cambodia",1979,NA,NA,NA,NA,NA
"1533","Cameroon",1979,0.06,0.21,1.1,0.22,NA
"1534","Canada",1979,102.41,101.47,125.77,92.95,NA
"1535","Cape Verde",1979,NA,NA,NA,NA,NA
"1536","Central African Republic",1979,NA,NA,NA,NA,NA
"1537","Chad",1979,NA,NA,NA,NA,NA
"1538","Chile",1979,6.29,5.91,5.74,2.55,NA
"1539","China",1979,320.09,699.95,86.52,343.29,NA
"1540","Colombia",1979,8.58,10.19,11.38,3.37,NA
"1541","Comoros",1979,NA,NA,NA,NA,NA
"1542","Congo, Dem. Rep.",1979,0.16,0.74,0.61,1.64,NA
"1543","Congo, Rep.",1979,0.08,0.08,0.45,0.06,NA
"1544","Cook Islands",1979,NA,NA,NA,NA,NA
"1545","Costa Rica",1979,0.43,0.58,1.33,0.12,NA
"1546","Cote d'Ivoire",1979,1.14,0.54,1.48,0.47,NA
"1547","Croatia",1979,5.2842,6.6472,4.3093,2.0638,NA
"1548","Cuba",1979,8.9,10.31,5.24,4.93,NA
"1549","Cyprus",1979,0.97,0.78,0.59,0.12,NA
"1550","Czech Republic",1979,48.88,74.45,7.54,41.65,NA
"1551","Denmark",1979,22.3,9.08,9.2,22.09,NA
"1552","Djibouti",1979,NA,NA,NA,NA,NA
"1553","Dominica",1979,NA,NA,NA,NA,NA
"1554","Dominican Republic",1979,2.85,1.07,1.91,0.26,NA
"1555","Ecuador",1979,3.15,1.46,3.42,1.72,NA
"1556","Egypt",1979,7.94,15.56,6.69,7.4,NA
"1557","El Salvador",1979,0.11,0.76,1.07,0.16,NA
"1558","Equatorial Guinea",1979,NA,NA,NA,NA,NA
"1559","Eritrea",1979,NA,NA,NA,NA,NA
"1560","Estonia",1979,NA,NA,NA,NA,NA
"1561","Ethiopia",1979,0.29,0.25,0.7,0.12,NA
"1562","European Union (15)",1979,1217.5,851.78,522.48,822.65,NA
"1563","European Union (28)",1979,1645.094,1140.9648,591.3524,1040.5758,NA
"1564","Fiji",1979,NA,NA,NA,NA,NA
"1565","Finland",1979,18.72,14.76,8.3,12.63,NA
"1566","France",1979,141.12,126.61,86.56,127.54,NA
"1567","Gabon",1979,0.1,0.92,0.26,0.05,NA
"1568","Gambia, The",1979,NA,NA,NA,NA,NA
"1569","Georgia",1979,NA,NA,NA,NA,NA
"1570","Germany",1979,445.7,254.75,125.61,277.59,NA
"1571","Ghana",1979,0.14,0.43,1.14,0.55,NA
"1572","Greece",1979,19.03,10.98,8.81,6.25,NA
"1573","Grenada",1979,NA,NA,NA,NA,NA
"1574","Guatemala",1979,1.35,1.12,1.33,0.44,NA
"1575","Guinea",1979,NA,NA,NA,NA,NA
"1576","Guinea-Bissau",1979,NA,NA,NA,NA,NA
"1577","Guyana",1979,NA,NA,NA,NA,NA
"1578","Haiti",1979,0.06,0.23,0.31,0.04,NA
"1579","Honduras",1979,0.17,0.54,0.65,0.32,NA
"1580","Hungary",1979,33.84,21.47,8.53,20.58,NA
"1581","Iceland",1979,0.04,0.51,0.49,0.78,NA
"1582","India",1979,74.02,92.09,54.2,50.25,NA
"1583","Indonesia",1979,10.59,17.85,15.68,16.45,NA
"1584","Iran",1979,21.19,23.5,22.87,32.31,NA
"1585","Iraq",1979,9.33,5.68,8.47,3.86,NA
"1586","Ireland",1979,8.47,5.94,4.77,8,NA
"1587","Israel",1979,9.83,3.83,4.08,1.84,NA
"1588","Italy",1979,112.16,95.37,69.59,81.72,NA
"1589","Jamaica",1979,1.32,3.53,0.96,1.14,NA
"1590","Japan",1979,370.77,272.77,154.37,133.17,NA
"1591","Jordan",1979,0.86,0.37,1.61,0.59,NA
"1592","Kazakhstan",1979,NA,NA,NA,NA,NA
"1593","Kenya",1979,0.5,1.08,1.62,0.95,NA
"1594","Kiribati",1979,NA,NA,NA,NA,NA
"1595","Korea, Dem. Rep. (North)",1979,13.71,64.82,4.85,15.89,NA
"1596","Korea, Rep. (South)",1979,32.73,31.04,16.88,39.38,NA
"1597","Kuwait",1979,12.38,4.28,3.2,5.7,NA
"1598","Kyrgyzstan",1979,NA,NA,NA,NA,NA
"1599","Laos",1979,NA,NA,NA,NA,NA
"1600","Latvia",1979,NA,NA,NA,NA,NA
"1601","Lebanon",1979,1.83,1.86,1.51,1.05,NA
"1602","Lesotho",1979,NA,NA,NA,NA,NA
"1603","Liberia",1979,NA,NA,NA,NA,NA
"1604","Libya",1979,5.73,3.19,3.93,0.82,NA
"1605","Lithuania",1979,NA,NA,NA,NA,NA
"1606","Luxembourg",1979,1.83,7.99,1.2,1.65,NA
"1607","Macedonia, FYR",1979,3.3444,1.9162,1.1938,0.3726,NA
"1608","Madagascar",1979,NA,NA,NA,NA,NA
"1609","Malawi",1979,NA,NA,NA,NA,NA
"1610","Malaysia",1979,7.52,7.72,5.69,1.32,NA
"1611","Maldives",1979,NA,NA,NA,NA,NA
"1612","Mali",1979,NA,NA,NA,NA,NA
"1613","Malta",1979,0.6,0,0.2,0.08,NA
"1614","Mauritania",1979,NA,NA,NA,NA,NA
"1615","Mauritius",1979,0.18,0.08,0.24,0.09,NA
"1616","Mexico",1979,52.15,58.34,59.69,20.2,NA
"1617","Moldova",1979,NA,NA,NA,NA,NA
"1618","Mongolia",1979,NA,NA,NA,NA,NA
"1619","Montenegro",1979,NA,NA,NA,NA,NA
"1620","Morocco",1979,3.53,4.94,2.85,2.29,NA
"1621","Mozambique",1979,0.47,0.53,0.18,0.69,NA
"1622","Myanmar",1979,0.83,1.95,1.8,0.27,NA
"1623","Namibia",1979,NA,NA,NA,NA,NA
"1624","Nauru",1979,NA,NA,NA,NA,NA
"1625","Nepal",1979,0.04,0.17,0.11,0.13,NA
"1626","Netherlands",1979,49.32,55.2,21.53,49.5,NA
"1627","New Zealand",1979,2.56,4.43,6.64,2.67,NA
"1628","Nicaragua",1979,0.45,0.18,0.73,0.16,NA
"1629","Niger",1979,NA,NA,NA,NA,NA
"1630","Nigeria",1979,3.33,5.76,11.5,3.06,NA
"1631","Niue",1979,NA,NA,NA,NA,NA
"1632","Norway",1979,2.89,11.33,9.22,6.02,NA
"1633","Oman",1979,0.68,0.1,0.58,0.57,NA
"1634","Pakistan",1979,3.61,8.84,6.02,5.67,NA
"1635","Palau",1979,NA,NA,NA,NA,NA
"1636","Panama",1979,1.34,0.55,1.04,0.15,NA
"1637","Papua New Guinea",1979,NA,NA,NA,NA,NA
"1638","Paraguay",1979,0.24,0.11,0.92,0.07,NA
"1639","Peru",1979,4.02,5.95,5.61,3.78,NA
"1640","Philippines",1979,11.95,8.88,10.69,3.76,NA
"1641","Poland",1979,229.94,68.51,28.79,76.17,NA
"1642","Portugal",1979,5.27,7.66,6.26,2.74,NA
"1643","Qatar",1979,2.69,2.92,0.92,0.03,NA
"1644","Romania",1979,53.31,80.91,7.56,36.74,NA
"1645","Russian Federation",1979,NA,NA,NA,NA,NA
"1646","Rwanda",1979,NA,NA,NA,NA,NA
"1647","Saint Kitts & Nevis",1979,NA,NA,NA,NA,NA
"1648","Saint Lucia",1979,NA,NA,NA,NA,NA
"1649","Saint Vincent & Grenadines",1979,NA,NA,NA,NA,NA
"1650","Samoa",1979,NA,NA,NA,NA,NA
"1651","Sao Tome & Principe",1979,NA,NA,NA,NA,NA
"1652","Saudi Arabia",1979,27.01,23.38,22.08,1.07,NA
"1653","Senegal",1979,0.71,0.46,0.68,0.11,NA
"1654","Serbia",1979,21.9925,10.6226,4.249,3.8362,NA
"1655","Seychelles",1979,NA,NA,NA,NA,NA
"1656","Sierra Leone",1979,NA,NA,NA,NA,NA
"1657","Singapore",1979,8.44,1.03,2.93,0.31,NA
"1658","Slovakia",1979,13.62,23.17,4.87,9.9,NA
"1659","Slovenia",1979,3.1298,3.2276,2.5631,1.5219,NA
"1660","Solomon Islands",1979,NA,NA,NA,NA,NA
"1661","South Africa",1979,90.27,68.54,25.01,14.71,NA
"1662","Spain",1979,53.21,55.89,46.37,20.83,NA
"1663","Sri Lanka",1979,0.27,0.57,2.03,0.73,NA
"1664","Sudan",1979,0.38,0.69,2.11,0.07,NA
"1665","Suriname",1979,NA,NA,NA,NA,NA
"1666","Swaziland",1979,NA,NA,NA,NA,NA
"1667","Sweden",1979,11.55,21.9,17.31,29.51,NA
"1668","Switzerland",1979,1.93,8.04,9.69,18.95,NA
"1669","Syria",1979,1.5,7.64,3.56,1.83,NA
"1670","Tajikistan",1979,NA,NA,NA,NA,NA
"1671","Tanzania",1979,0.26,0.42,0.71,0.25,NA
"1672","Thailand",1979,9.06,7.19,10.06,5.73,NA
"1673","Togo",1979,0.07,0,0.3,0.03,NA
"1674","Tonga",1979,NA,NA,NA,NA,NA
"1675","Trinidad & Tobago",1979,4.2,2.02,1.3,0.18,NA
"1676","Tunisia",1979,2.3,2.02,1.63,1.29,NA
"1677","Turkey",1979,16.55,19.09,17.26,14.13,NA
"1678","Turkmenistan",1979,NA,NA,NA,NA,NA
"1679","Uganda",1979,NA,NA,NA,NA,NA
"1680","Ukraine",1979,NA,NA,NA,NA,NA
"1681","United Arab Emirates",1979,4.05,7.11,3.27,0,NA
"1682","United Kingdom",1979,274.93,132.81,88.28,128.5,NA
"1683","United States",1979,1786.17,993.15,1296.96,792.46,NA
"1684","Uruguay",1979,1.71,1.72,1.9,0.89,NA
"1685","Uzbekistan",1979,NA,NA,NA,NA,NA
"1686","Vanuatu",1979,NA,NA,NA,NA,NA
"1687","Venezuela",1979,32.87,22.51,25.7,4.19,NA
"1688","Vietnam",1979,2.93,0.14,0.66,10.32,NA
"1689","World",1979,6267.18,4886.51,3719.46,3360.91,NA
"1690","Yemen",1979,0.54,0,1.74,0.33,NA
"1691","Zambia",1979,0.29,2.15,0.57,0.3,NA
"1692","Zimbabwe",1979,0.85,3.1,1.59,1.42,NA
"1693","Afghanistan",1980,NA,NA,NA,NA,0
"1694","Albania",1980,0.91,3.5,1.47,1.71,0
"1695","Algeria",1980,12.82,4.13,6.15,5.32,19.9278
"1696","Angola",1980,0.55,0.45,0.99,0.69,0
"1697","Antigua & Barbuda",1980,NA,NA,NA,NA,0
"1698","Argentina",1980,30.31,16.15,30.91,18.24,0
"1699","Armenia",1980,NA,NA,NA,NA,0
"1700","Australia",1980,99.8,48.09,49.07,11.05,0
"1701","Austria",1980,11.75,14.26,11.72,17.92,0
"1702","Azerbaijan",1980,NA,NA,NA,NA,0
"1703","Bahamas, The",1980,NA,NA,NA,NA,0
"1704","Bahrain",1980,4.6,2.11,0.62,0.07,0
"1705","Bangladesh",1980,1.75,2.74,0.98,1.73,0
"1706","Barbados",1980,NA,NA,NA,NA,0
"1707","Belarus",1980,NA,NA,NA,NA,0
"1708","Belgium",1980,41.82,34.7,15.85,33.33,0
"1709","Belize",1980,NA,NA,NA,NA,0
"1710","Benin",1980,0.02,0.03,0.26,0.09,0
"1711","Bhutan",1980,NA,NA,NA,NA,0
"1712","Bolivia",1980,1,0.43,2.09,0.67,0.3216
"1713","Bosnia & Herzegovina",1980,4.211,5.7027,1.7956,2.3654,0
"1714","Botswana",1980,NA,NA,NA,NA,0
"1715","Brazil",1980,20.28,67.24,72.57,17.51,0
"1716","Brunei",1980,2.15,0.13,0.33,0.03,0.7173
"1717","Bulgaria",1980,38.11,11.19,4.08,30.44,0
"1718","Burkina Faso",1980,NA,NA,NA,NA,0
"1719","Burundi",1980,NA,NA,NA,NA,0
"1720","Cambodia",1980,NA,NA,NA,NA,0
"1721","Cameroon",1980,0.07,0.16,1.17,0.25,0
"1722","Canada",1980,107.04,102.69,127.9,89.25,2.9543
"1723","Cape Verde",1980,NA,NA,NA,NA,0
"1724","Central African Republic",1980,NA,NA,NA,NA,0
"1725","Chad",1980,NA,NA,NA,NA,0
"1726","Chile",1980,6.38,6.18,6.18,2.48,0
"1727","China",1980,351.79,671.37,81.89,320.4,0
"1728","Colombia",1980,9,10.24,11.66,4.13,1.5953
"1729","Comoros",1980,NA,NA,NA,NA,0
"1730","Congo, Dem. Rep.",1980,0.16,0.63,0.59,1.72,0
"1731","Congo, Rep.",1980,0.08,0.06,0.51,0.05,0
"1732","Cook Islands",1980,NA,NA,NA,NA,0
"1733","Costa Rica",1980,0.15,0.6,1.32,0.11,0
"1734","Cote d'Ivoire",1980,0.67,0.62,1.54,0.55,0
"1735","Croatia",1980,5.4345,6.4288,3.9381,1.7037,0
"1736","Cuba",1980,9.59,10.42,5.25,4.92,0
"1737","Cyprus",1980,1.02,0.83,0.61,0.13,0
"1738","Czech Republic",1980,56.05,67.73,6.63,35.39,NA
"1739","Denmark",1980,26.78,8.35,8.88,18.53,0
"1740","Djibouti",1980,NA,NA,NA,NA,0
"1741","Dominica",1980,NA,NA,NA,NA,0
"1742","Dominican Republic",1980,3.03,1.2,1.77,0.27,0
"1743","Ecuador",1980,3.2,1.54,3.95,1.81,0.7681
"1744","Egypt",1980,9.2,17.25,8.13,7.96,0
"1745","El Salvador",1980,0.11,0.65,0.85,0.15,0
"1746","Equatorial Guinea",1980,NA,NA,NA,NA,0
"1747","Eritrea",1980,NA,NA,NA,NA,NA
"1748","Estonia",1980,NA,NA,NA,NA,0
"1749","Ethiopia",1980,0.31,0.29,0.63,0.16,0
"1750","European Union (15)",1980,1223.65,776.1,525.6,756.43,NA
"1751","European Union (28)",1980,1656.1966,1065.7104,590.4804,978.1501,NA
"1752","Fiji",1980,NA,NA,NA,NA,0
"1753","Finland",1980,20.87,14.74,8.25,11.32,0
"1754","France",1980,135.2,119.79,88.13,118.23,0
"1755","Gabon",1980,0.12,0.84,0.24,0.09,3.093
"1756","Gambia, The",1980,NA,NA,NA,NA,0
"1757","Georgia",1980,NA,NA,NA,NA,0
"1758","Germany",1980,443.2,233.87,127.99,250.55,NA
"1759","Ghana",1980,0.14,0.46,1.25,0.42,0
"1760","Greece",1980,19.53,10.55,9.45,5.8,0
"1761","Grenada",1980,NA,NA,NA,NA,0
"1762","Guatemala",1980,1.63,0.79,1.34,0.46,0
"1763","Guinea",1980,NA,NA,NA,NA,0
"1764","Guinea-Bissau",1980,NA,NA,NA,NA,0
"1765","Guyana",1980,NA,NA,NA,NA,0
"1766","Haiti",1980,0.07,0.21,0.3,0.04,0
"1767","Honduras",1980,0.23,0.53,0.61,0.31,0
"1768","Hungary",1980,33.98,21.1,8.37,20.24,0
"1769","Iceland",1980,0.03,0.52,0.46,0.73,0
"1770","India",1980,89.93,89.83,56.58,47.26,3.7969
"1771","Indonesia",1980,11.91,21.44,17.67,17.86,12.7275
"1772","Iran",1980,18.08,20.98,21.12,30.01,17.3657
"1773","Iraq",1980,8.16,5.38,9.46,4.01,17.4744
"1774","Ireland",1980,8.22,5.99,4.56,7.2,0
"1775","Israel",1980,9.79,3.87,4.1,1.84,0
"1776","Italy",1980,119.05,92.33,70.48,77.94,0
"1777","Jamaica",1980,1.28,3.89,0.86,0.47,0
"1778","Japan",1980,342.19,256.2,156.24,126.08,0
"1779","Jordan",1980,1.24,0.59,1.65,0.79,0
"1780","Kazakhstan",1980,NA,NA,NA,NA,0
"1781","Kenya",1980,0.67,1,1.9,0.89,0
"1782","Kiribati",1980,NA,NA,NA,NA,0
"1783","Korea, Dem. Rep. (North)",1980,14.25,68.76,5.5,17.05,0
"1784","Korea, Rep. (South)",1980,34.8,30.64,14.37,44.56,0
"1785","Kuwait",1980,11.68,4.61,5.3,4.99,2.5775
"1786","Kyrgyzstan",1980,NA,NA,NA,NA,0
"1787","Laos",1980,NA,NA,NA,NA,0
"1788","Latvia",1980,NA,NA,NA,NA,0
"1789","Lebanon",1980,3.14,0.02,1.83,1.6,0
"1790","Lesotho",1980,NA,NA,NA,NA,0
"1791","Liberia",1980,NA,NA,NA,NA,0
"1792","Libya",1980,9.45,3.72,4.64,0.75,8.2996
"1793","Lithuania",1980,NA,NA,NA,NA,0
"1794","Luxembourg",1980,1.78,7.39,1.26,1.49,0
"1795","Macedonia, FYR",1980,3.3781,1.8533,1.091,0.3076,0
"1796","Madagascar",1980,NA,NA,NA,NA,0
"1797","Malawi",1980,NA,NA,NA,NA,0
"1798","Malaysia",1980,8.05,8.6,6.32,1.32,0
"1799","Maldives",1980,NA,NA,NA,NA,0
"1800","Mali",1980,NA,NA,NA,NA,0
"1801","Malta",1980,0.63,0,0.26,0.08,0
"1802","Mauritania",1980,NA,NA,NA,NA,0
"1803","Mauritius",1980,0.17,0.08,0.24,0.07,0
"1804","Mexico",1980,62.18,59.76,66.89,23.26,8.1109
"1805","Moldova",1980,NA,NA,NA,NA,0
"1806","Mongolia",1980,NA,NA,NA,NA,0
"1807","Montenegro",1980,NA,NA,NA,NA,NA
"1808","Morocco",1980,3.93,5.21,2.57,2.25,0
"1809","Mozambique",1980,0.56,0.6,0.29,0.87,0
"1810","Myanmar",1980,0.95,2.05,1.89,0.29,0
"1811","Namibia",1980,NA,NA,NA,NA,NA
"1812","Nauru",1980,NA,NA,NA,NA,0
"1813","Nepal",1980,0.01,0.21,0.16,0.14,0
"1814","Netherlands",1980,49.36,49.1,22.03,46.2,0
"1815","New Zealand",1980,2.17,4.8,6.68,2.78,0
"1816","Nicaragua",1980,0.47,0.25,0.87,0.2,0
"1817","Niger",1980,NA,NA,NA,NA,0
"1818","Nigeria",1980,5.1,4.71,13.35,3.59,42.7392
"1819","Niue",1980,NA,NA,NA,NA,0
"1820","Norway",1980,3.37,10.85,8.4,5.36,0
"1821","Oman",1980,0.92,0.04,0.63,0.64,0
"1822","Pakistan",1980,4.5,9.22,6.68,5.7,0
"1823","Palau",1980,NA,NA,NA,NA,NA
